TITLE = "HYDROGEOCHEM SUBFLOW PLOT"
VARIABLES = "X","Y","Satur","Poros","MoistCon"
ZONE T="       0", N=       82, E=       40, F=FEPOINT, ET=QUADRILATERAL, SOLUTIONTIME=  0.0000000E+00
  0.0000000E+00  1.2000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.2000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.2500000E+02  3.5333334E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.2500000E+02  3.5333334E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.3000000E+02  3.5333336E-01  4.5000000E-01  1.5900001E-01
  5.0000000E+01  1.3000000E+02  3.5333336E-01  4.5000000E-01  1.5900001E-01
  0.0000000E+00  1.3500000E+02  3.5333344E-01  4.5000000E-01  1.5900005E-01
  5.0000000E+01  1.3500000E+02  3.5333344E-01  4.5000000E-01  1.5900005E-01
  0.0000000E+00  1.4000000E+02  3.5333370E-01  4.5000000E-01  1.5900017E-01
  5.0000000E+01  1.4000000E+02  3.5333370E-01  4.5000000E-01  1.5900017E-01
  0.0000000E+00  1.4500000E+02  3.5333450E-01  4.5000000E-01  1.5900053E-01
  5.0000000E+01  1.4500000E+02  3.5333450E-01  4.5000000E-01  1.5900053E-01
  0.0000000E+00  1.5000000E+02  3.5333656E-01  4.5000000E-01  1.5900145E-01
  5.0000000E+01  1.5000000E+02  3.5333656E-01  4.5000000E-01  1.5900145E-01
  0.0000000E+00  1.5500000E+02  3.5334117E-01  4.5000000E-01  1.5900353E-01
  5.0000000E+01  1.5500000E+02  3.5334117E-01  4.5000000E-01  1.5900353E-01
  0.0000000E+00  1.6000000E+02  3.5335051E-01  4.5000000E-01  1.5900773E-01
  5.0000000E+01  1.6000000E+02  3.5335051E-01  4.5000000E-01  1.5900773E-01
  0.0000000E+00  1.6500000E+02  3.5337045E-01  4.5000000E-01  1.5901670E-01
  5.0000000E+01  1.6500000E+02  3.5337045E-01  4.5000000E-01  1.5901670E-01
  0.0000000E+00  1.7000000E+02  3.5342868E-01  4.5000000E-01  1.5904291E-01
  5.0000000E+01  1.7000000E+02  3.5342868E-01  4.5000000E-01  1.5904291E-01
  0.0000000E+00  1.7500000E+02  3.5367319E-01  4.5000000E-01  1.5915293E-01
  5.0000000E+01  1.7500000E+02  3.5367319E-01  4.5000000E-01  1.5915293E-01
  0.0000000E+00  1.8000000E+02  3.5483990E-01  4.5000000E-01  1.5967796E-01
  5.0000000E+01  1.8000000E+02  3.5483990E-01  4.5000000E-01  1.5967796E-01
  0.0000000E+00  1.8500000E+02  3.5973029E-01  4.5000000E-01  1.6187863E-01
  5.0000000E+01  1.8500000E+02  3.5973029E-01  4.5000000E-01  1.6187863E-01
  0.0000000E+00  1.9000000E+02  3.7498266E-01  4.5000000E-01  1.6874220E-01
  5.0000000E+01  1.9000000E+02  3.7498266E-01  4.5000000E-01  1.6874220E-01
  0.0000000E+00  1.9500000E+02  4.0805017E-01  4.5000000E-01  1.8362258E-01
  5.0000000E+01  1.9500000E+02  4.0805017E-01  4.5000000E-01  1.8362258E-01
  0.0000000E+00  2.0000000E+02  4.3968338E-01  4.5000000E-01  1.9785752E-01
  5.0000000E+01  2.0000000E+02  4.3968338E-01  4.5000000E-01  1.9785752E-01
      1      2      4      3
      3      4      6      5
      5      6      8      7
      7      8     10      9
      9     10     12     11
     11     12     14     13
     13     14     16     15
     15     16     18     17
     17     18     20     19
     19     20     22     21
     21     22     24     23
     23     24     26     25
     25     26     28     27
     27     28     30     29
     29     30     32     31
     31     32     34     33
     33     34     36     35
     35     36     38     37
     37     38     40     39
     39     40     42     41
     41     42     44     43
     43     44     46     45
     45     46     48     47
     47     48     50     49
     49     50     52     51
     51     52     54     53
     53     54     56     55
     55     56     58     57
     57     58     60     59
     59     60     62     61
     61     62     64     63
     63     64     66     65
     65     66     68     67
     67     68     70     69
     69     70     72     71
     71     72     74     73
     73     74     76     75
     75     76     78     77
     77     78     80     79
     79     80     82     81
ZONE T="       2", N=       82, E=       40, F=FEPOINT, ET=QUADRILATERAL, SOLUTIONTIME=  1.1000000E-01
  0.0000000E+00  0.0000000E+00  9.6269900E-01  4.5000000E-01  4.3321455E-01
  5.0000000E+01  0.0000000E+00  9.6269900E-01  4.5000000E-01  4.3321455E-01
  0.0000000E+00  5.0000000E+00  8.8709378E-01  4.5000000E-01  3.9919220E-01
  5.0000000E+01  5.0000000E+00  8.8709378E-01  4.5000000E-01  3.9919220E-01
  0.0000000E+00  1.0000000E+01  7.7028093E-01  4.5000000E-01  3.4662642E-01
  5.0000000E+01  1.0000000E+01  7.7028093E-01  4.5000000E-01  3.4662642E-01
  0.0000000E+00  1.5000000E+01  6.5416983E-01  4.5000000E-01  2.9437642E-01
  5.0000000E+01  1.5000000E+01  6.5416983E-01  4.5000000E-01  2.9437642E-01
  0.0000000E+00  2.0000000E+01  5.4595279E-01  4.5000000E-01  2.4567876E-01
  5.0000000E+01  2.0000000E+01  5.4595279E-01  4.5000000E-01  2.4567876E-01
  0.0000000E+00  2.5000000E+01  4.5419123E-01  4.5000000E-01  2.0438605E-01
  5.0000000E+01  2.5000000E+01  4.5419123E-01  4.5000000E-01  2.0438605E-01
  0.0000000E+00  3.0000000E+01  3.8944627E-01  4.5000000E-01  1.7525082E-01
  5.0000000E+01  3.0000000E+01  3.8944627E-01  4.5000000E-01  1.7525082E-01
  0.0000000E+00  3.5000000E+01  3.5911220E-01  4.5000000E-01  1.6160049E-01
  5.0000000E+01  3.5000000E+01  3.5911220E-01  4.5000000E-01  1.6160049E-01
  0.0000000E+00  4.0000000E+01  3.5346652E-01  4.5000000E-01  1.5905993E-01
  5.0000000E+01  4.0000000E+01  3.5346652E-01  4.5000000E-01  1.5905993E-01
  0.0000000E+00  4.5000000E+01  3.5332070E-01  4.5000000E-01  1.5899431E-01
  5.0000000E+01  4.5000000E+01  3.5332070E-01  4.5000000E-01  1.5899431E-01
  0.0000000E+00  5.0000000E+01  3.5333462E-01  4.5000000E-01  1.5900058E-01
  5.0000000E+01  5.0000000E+01  3.5333462E-01  4.5000000E-01  1.5900058E-01
  0.0000000E+00  5.5000000E+01  3.5333323E-01  4.5000000E-01  1.5899995E-01
  5.0000000E+01  5.5000000E+01  3.5333323E-01  4.5000000E-01  1.5899995E-01
  0.0000000E+00  6.0000000E+01  3.5333334E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  6.0000000E+01  3.5333334E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  6.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  6.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  7.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  7.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  7.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  7.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  8.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  8.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  8.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  8.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  9.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  9.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  9.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  9.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.0000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.0000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.0500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.0500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.1000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.1000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.1500000E+02  3.5333334E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.1500000E+02  3.5333334E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.2000000E+02  3.5333334E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.2000000E+02  3.5333334E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.2500000E+02  3.5333337E-01  4.5000000E-01  1.5900001E-01
  5.0000000E+01  1.2500000E+02  3.5333337E-01  4.5000000E-01  1.5900001E-01
  0.0000000E+00  1.3000000E+02  3.5333344E-01  4.5000000E-01  1.5900005E-01
  5.0000000E+01  1.3000000E+02  3.5333344E-01  4.5000000E-01  1.5900005E-01
  0.0000000E+00  1.3500000E+02  3.5333369E-01  4.5000000E-01  1.5900016E-01
  5.0000000E+01  1.3500000E+02  3.5333369E-01  4.5000000E-01  1.5900016E-01
  0.0000000E+00  1.4000000E+02  3.5333441E-01  4.5000000E-01  1.5900048E-01
  5.0000000E+01  1.4000000E+02  3.5333441E-01  4.5000000E-01  1.5900048E-01
  0.0000000E+00  1.4500000E+02  3.5333641E-01  4.5000000E-01  1.5900138E-01
  5.0000000E+01  1.4500000E+02  3.5333641E-01  4.5000000E-01  1.5900138E-01
  0.0000000E+00  1.5000000E+02  3.5334201E-01  4.5000000E-01  1.5900391E-01
  5.0000000E+01  1.5000000E+02  3.5334201E-01  4.5000000E-01  1.5900391E-01
  0.0000000E+00  1.5500000E+02  3.5335881E-01  4.5000000E-01  1.5901146E-01
  5.0000000E+01  1.5500000E+02  3.5335881E-01  4.5000000E-01  1.5901146E-01
  0.0000000E+00  1.6000000E+02  3.5341536E-01  4.5000000E-01  1.5903691E-01
  5.0000000E+01  1.6000000E+02  3.5341536E-01  4.5000000E-01  1.5903691E-01
  0.0000000E+00  1.6500000E+02  3.5362410E-01  4.5000000E-01  1.5913084E-01
  5.0000000E+01  1.6500000E+02  3.5362410E-01  4.5000000E-01  1.5913084E-01
  0.0000000E+00  1.7000000E+02  3.5440801E-01  4.5000000E-01  1.5948361E-01
  5.0000000E+01  1.7000000E+02  3.5440801E-01  4.5000000E-01  1.5948361E-01
  0.0000000E+00  1.7500000E+02  3.5711838E-01  4.5000000E-01  1.6070327E-01
  5.0000000E+01  1.7500000E+02  3.5711838E-01  4.5000000E-01  1.6070327E-01
  0.0000000E+00  1.8000000E+02  3.6484221E-01  4.5000000E-01  1.6417899E-01
  5.0000000E+01  1.8000000E+02  3.6484221E-01  4.5000000E-01  1.6417899E-01
  0.0000000E+00  1.8500000E+02  3.8166796E-01  4.5000000E-01  1.7175058E-01
  5.0000000E+01  1.8500000E+02  3.8166796E-01  4.5000000E-01  1.7175058E-01
  0.0000000E+00  1.9000000E+02  4.0948165E-01  4.5000000E-01  1.8426674E-01
  5.0000000E+01  1.9000000E+02  4.0948165E-01  4.5000000E-01  1.8426674E-01
  0.0000000E+00  1.9500000E+02  4.4585936E-01  4.5000000E-01  2.0063671E-01
  5.0000000E+01  1.9500000E+02  4.4585936E-01  4.5000000E-01  2.0063671E-01
  0.0000000E+00  2.0000000E+02  4.7230028E-01  4.5000000E-01  2.1253513E-01
  5.0000000E+01  2.0000000E+02  4.7230028E-01  4.5000000E-01  2.1253513E-01
      1      2      4      3
      3      4      6      5
      5      6      8      7
      7      8     10      9
      9     10     12     11
     11     12     14     13
     13     14     16     15
     15     16     18     17
     17     18     20     19
     19     20     22     21
     21     22     24     23
     23     24     26     25
     25     26     28     27
     27     28     30     29
     29     30     32     31
     31     32     34     33
     33     34     36     35
     35     36     38     37
     37     38     40     39
     39     40     42     41
     41     42     44     43
     43     44     46     45
     45     46     48     47
     47     48     50     49
     49     50     52     51
     51     52     54     53
     53     54     56     55
     55     56     58     57
     57     58     60     59
     59     60     62     61
     61     62     64     63
     63     64     66     65
     65     66     68     67
     67     68     70     69
     69     70     72     71
     71     72     74     73
     73     74     76     75
     75     76     78     77
     77     78     80     79
     79     80     82     81
ZONE T="       3", N=       82, E=       40, F=FEPOINT, ET=QUADRILATERAL, SOLUTIONTIME=  1.8200000E-01
  0.0000000E+00  0.0000000E+00  9.7162831E-01  4.5000000E-01  4.3723274E-01
  5.0000000E+01  0.0000000E+00  9.7162831E-01  4.5000000E-01  4.3723274E-01
  0.0000000E+00  5.0000000E+00  9.1405739E-01  4.5000000E-01  4.1132583E-01
  5.0000000E+01  5.0000000E+00  9.1405739E-01  4.5000000E-01  4.1132583E-01
  0.0000000E+00  1.0000000E+01  8.2425878E-01  4.5000000E-01  3.7091645E-01
  5.0000000E+01  1.0000000E+01  8.2425878E-01  4.5000000E-01  3.7091645E-01
  0.0000000E+00  1.5000000E+01  7.3132141E-01  4.5000000E-01  3.2909464E-01
  5.0000000E+01  1.5000000E+01  7.3132141E-01  4.5000000E-01  3.2909464E-01
  0.0000000E+00  2.0000000E+01  6.3780629E-01  4.5000000E-01  2.8701283E-01
  5.0000000E+01  2.0000000E+01  6.3780629E-01  4.5000000E-01  2.8701283E-01
  0.0000000E+00  2.5000000E+01  5.4747774E-01  4.5000000E-01  2.4636498E-01
  5.0000000E+01  2.5000000E+01  5.4747774E-01  4.5000000E-01  2.4636498E-01
  0.0000000E+00  3.0000000E+01  4.6601949E-01  4.5000000E-01  2.0970877E-01
  5.0000000E+01  3.0000000E+01  4.6601949E-01  4.5000000E-01  2.0970877E-01
  0.0000000E+00  3.5000000E+01  4.0195398E-01  4.5000000E-01  1.8087929E-01
  5.0000000E+01  3.5000000E+01  4.0195398E-01  4.5000000E-01  1.8087929E-01
  0.0000000E+00  4.0000000E+01  3.6488294E-01  4.5000000E-01  1.6419732E-01
  5.0000000E+01  4.0000000E+01  3.6488294E-01  4.5000000E-01  1.6419732E-01
  0.0000000E+00  4.5000000E+01  3.5417439E-01  4.5000000E-01  1.5937847E-01
  5.0000000E+01  4.5000000E+01  3.5417439E-01  4.5000000E-01  1.5937847E-01
